,Paper Title,Author,Affiliation,Conference,Year,Link to Paper,Code,Available,ReadMe,RepoGoal,TrainedModel,Out-of-box,Runs,Output,Data_Available,Train/test,Reason,ModelUsed,Hyperparameters,Training Described
1,Cracking-Resistant Password Vaults Using Natural Language Encoders,"Rahul Chatterjee, Joseph Bonneau
, Ari Juels
, Thomas Ristenpart",0,S&P,2015,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7163043,1,3,2,2,0,0,0,0,7,1,-1,random forest classifiers,1,2
3,De-anonymizing Programmers via Code Stylometry,"Aylin Caliskan-Islam,
Richard Harang,
Andrew Liu,
Arvind Narayanan,
Clare Voss,
Fabian Yamaguchi,
Rachel Greenstadt,",,Usenix,2015,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-caliskan-islam.pdf,1,1,1,2,0,0,0,0,0,0,0,Random forest classifiers,2,2
11,"Vulnerability Disclosure in the Age of Social Media:
Exploiting Twitter for Predicting Real-World Exploits","Carl Sabottke, Octavian Suciu,
Tudor Dumitras",0,Usenix,2015,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-sabottke.pdf,1,4,-1,1,-1,-1,1,-1,3,0,2,SVM Classifier,2,2
20,"Model Inversion Attacks that Exploit Confidence Information
and Basic Countermeasures","Matt Fredrikson, Somesh Jha, Thomas Ristenpart",0,CCS,2015,https://dl.acm.org/doi/pdf/10.1145/2810103.2813677,1,5,2,1,0,1,1,0,-1,1,-1,"Decision trees, Neural Network",2,2
23,Seeing through Network-Protocol Obfuscation,"Liang Wang, Kevin P. Dyer, Aditya Akella, Thomas Ristenpart, Thomas Shrimpton",0,CCS,2015,https://dl.acm.org/doi/pdf/10.1145/2810103.2813715,1,3,2,0,0,0,0,0,0,0,0,5 classifiers,1,2
29,Towards the Detection of Inconsistencies in Public Security Vulnerability Reports,"Ying Dong
, Wenbo Guo, Yueqi Chen
,
Xinyu Xing, Yuqing Zhang
, and Gang Wang",1,Usenix,2019,https://www.usenix.org/system/files/sec19-dong.pdf,0,1,1,0,0,0,0,1,7,1,-1,"deep learning based - NER, RE model",2,2
34,Beyond Credential Stuffing: Password Similarity Models using Neural Networks,"Bijeeta Pal, Tal Daniel, Rahul Chatterjee, Thomas Ristenpart ",0,S&P,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8835247,1,3,2,0,0,0,0,1,7,1,-1,"neural network (RNN, LSTM)",2,2
36,Certified Robustness to Adversarial Examples with Differential Privacy,"Mathias Lecuyer, Vaggelis Atlidakis, Roxana Geambasu, Daniel Hsu, Suman Jana",0,S&P,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8835364,1,1,2,0,1,0,0,0,7,1,-1,DNN,2,2
43,Differentially Private Model Publishing for Deep Learning,"Lei Yu, Ling Liu, Calton Pu, Mehmet Emre Gursoy, Stacey Truex",0,S&P,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8835283,1,3,2,1,-1,0,0,0,4,1,-1,DNN + SGD,2,2
44,"Exploiting Unintended Feature Leakage
in Collaborative Learning","Luca Melis, Congzheng Song, Emiliano De Cristofaro, Vitaly Shmatikov",0,S&P,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8835269,1,3,1,1,0,0,0,0,4,1,-1,"Collaborative learning, DNNs",2,2
49,"Neural Cleanse: Identifying and Mitigating
Backdoor Attacks in Neural Networks","Bolun Wang, Yuanshun Yao, Shawn Shan, Huiying Li, Bimal Viswanath, Haitao Zheng, Ben Y. Zhao",,S&P,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8835365,1,3,2,0,1,0,0,0,7,-1,-1,DNN,2,2
60,"AdVersarial: Perceptual Ad Blocking meets
Adversarial Machine Learning","Florian Tramèr, Pascal Dupré, Gili Rusak, Giancarlo Pellegrino, Dan Boneh",,CCS,2019,https://dl.acm.org/doi/pdf/10.1145/3319535.3354222,1,1,2,0,1,0,0,0,1,1,-1,NN,0,1
63,"DeepIntent: Deep Icon-Behavior Learning for Detecting
Intention-Behavior Discrepancy in Mobile Apps","Shengqu Xi, Shao Yang, Xusheng Xiao, Yuan Yao, Yayuan Xiong, Fengyuan Xu, Haoyu Wang, Peng Gao, Zhuotao Liu, Feng Xu, Jian Lu",0,CCS,2019,https://dl.acm.org/doi/pdf/10.1145/3319535.3363193,1,1,2,0,0,0,0,0,8,-1,0,RNN,2,2
66,Effective and Light-Weight Deobfuscation and Semantic-Aware Attack Detection for PowerShell Scripts,"Zhenyuan Li, Qi Alfred Chen, Chunlin Xiong, Yan Chen, Tiantian Zhu, Hai Yang",1,CCS,2019,https://dl.acm.org/doi/pdf/10.1145/3319535.3363187,1,1,0,1,0,0,0,0,7,1,-1,"logistic regression with gradient
descent binary classifier",0,2
68,HideNoSeek: Camouflaging Malicious JavaScript in Benign ASTs,"Aurore Fass, Michael Backes, and Ben Stock",0,CCS,2019,https://dl.acm.org/doi/pdf/10.1145/3319535.3345656,1,3,2,1,0,0,0,0,4,0,1,attacks on classifiers (did not build a model),-1,-1
69,Latent Backdoor Attacks on Deep Neural Networks,"Yuanshun Yao, Huiying Li, 
Haitao Zheng, Ben Y. Zhao",0,CCS,2019,https://dl.acm.org/doi/pdf/10.1145/3319535.3354209,1,3,2,2,1,1,1,1,7,1,-1,DNN,2,2
70,Learning to Fuzz from Symbolic Execution with Application to Smart Contracts,"Jingxuan He, Mislav Balunoviƒá, Nodar Ambroladze, Petar Tsankov, Martin Vechev",,CCS,2019,https://dl.acm.org/doi/pdf/10.1145/3319535.3363230,1,1,2,2,1,0,0,0,7,1,-1,"FCN, RNN,GRU",2,2
73,"Make Some ROOM for the Zeros: Data Sparsity in Secure
Distributed Machine Learning","Phillipp Schoppmann, Adrià Gascón, Mariana Raykova, Benny Pinkas",1,CCS,2019,https://dl.acm.org/doi/pdf/10.1145/3319535.3339816,1,1,0,0,0,0,0,0,8,0,-1,"bayes classifier, stochastic gradient descent for logistic regression, k-nn",2,2
78,"Neural Network Inversion in Adversarial Setting via
Background Knowledge Alignment","Ziqi Yang, Jiyi Zhang, Ee-Chien Chang, Zhenkai Liang",0,CCS,2019,https://dl.acm.org/doi/pdf/10.1145/3319535.3354261,1,3,2,1,0,0,0,0,7,1,-1,CNN,2,2
80,"Privacy Risks of Securing Machine Learning Models against
Adversarial Examples","Liwei Song, Reza Shokri, Prateek Mittal",0,CCS,2019,https://dl.acm.org/doi/pdf/10.1145/3319535.3354211,1,1,2,0,1,1,1,1,7,1,-1,CNN,2,2
82,"Quantitative Verification of Neural Networks
and Its Security Applications","Teodora Baluta, Shiqi Shen, Shweta Shinde, Kuldeep S. Meel, Prateek Saxena",0,CCS,2019,https://dl.acm.org/doi/pdf/10.1145/3319535.3354245,1,1,2,1,1,0,0,0,7,1,-1,BNN,2,2
87,"Triplet Fingerprinting: More Practical and Portable Website
Fingerprinting with N-shot Learning","Payap Sirinam, Nate Mathews, Mohammad Saidur Rahman, Matthew Wright",0,CCS,2019,https://dl.acm.org/doi/pdf/10.1145/3319535.3354217,1,1,2,0,0,1,1,1,7,1,-1,"deep learning model, n-shot learning model",2,2
90,"ML-Leaks: Model and Data Independent
Membership Inference Attacks and Defenses on
Machine Learning Models","Ahmed Salem
, Yang Zhang, Mathias Humbert, Pascal Berrang
,
Mario Fritz
, Michael Backes",0,NDSS,2019,https://www.ndss-symposium.org/wp-content/uploads/2019/02/ndss2019_03A-1_Salem_paper.pdf,1,1,0,1,0,0,0,0,4,1,-1,CNN,2,2
92,"Stealthy Adversarial Perturbations Against
Real-Time Video Classification Systems","Shasha Li
, Ajaya Neupane
, Sujoy Paul
, Chengyu Song
,
Srikanth V. Krishnamurthy
, Amit K. Roy Chowdhury
and Ananthram Swami",,NDSS,2019,https://www.cs.ucr.edu/~csong/ndss19-video.pdf,1,1,2,1,1,0,0,0,7,1,0,"CNN, C3D",2,2
97,"A Systematic Framework to Generate Invariants for
Anomaly Detection in Industrial Control Systems","Cheng Feng, Venkata Reddy Palleti
, Aditya Mathur
and Deeph Chana",1,NDSS,2019,https://www.ndss-symposium.org/wp-content/uploads/2019/02/ndss2019_07A-3_Feng_paper.pdf,1,3,0,1,1,0,0,0,7,1,-1,RNN LSTM,2,2
